census 人口普查
hitherto 迄今
excess 过多
maturity 成熟，成年
mediocrity 平均化，平庸
vigorously 坚决的，精力充沛的
acquisitive 贪婪的
spectacle 壮观的景象，出人意外的情况
mortality 死亡率
validity 有效性
hypocrisy 虚伪
impetus 活力
sensational 哗众取宠的，耸人听闻的
schism 分裂
imperative 需要，迫切的
enthroned 使...登基
expose 暴露，揭露，使面临，使遭受
anticipation 预期
triviality 琐事
augment 加强，补充
impose 推行，迫使
imitate 模仿
sacrifice 牺牲，代价，舍弃
genuinely 真诚的，诚实的
much as 尽管
