detrimental 不利的
bold 大胆的，冒失的
burdensome 繁重的
compassionate 有同情心的
fallacy 错误的推理
vaccine 疫苗
compulsion 强制，欲望
epidemic 传染病
cunning 巧妙的
deceptive 欺骗人的
freight 货运，寄送
wither 枯萎
nutrition 营养
maturity 成熟，成年
infirm 衰弱的，体弱的
notorious 臭名昭著的
allegation 指控，无证据的说法
entrenched 确定的，不太可能改变的
prosperous 繁荣的
pick up 拾起，获得，收取，接载，注意到，发觉，改进，找到，
mutually 相互地
scanty 缺乏的
inedible 难吃的
vacuum 真空
insatiable 不知足的
arbiter 裁决人
sketch 素描，梗概
